Name,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Global_Sales,Year,img_url,Market_Share
SpongeBob: HeroPants,Action-Adventure,E,PSV,Activision,Behaviour Interactive,,,,0.02,2015,/games/boxart/full_7776930AmericaFrontccc.jpg,0.005311520688373105
PachiPara 3D,Misc,,3DS,Irem Software Engineering,Irem Software Engineering,,,,0.02,2011,/games/boxart/full_pachipara-3d_118JapanFront.jpg,0.0031229505636925945
Meiji Toukyou Renka: Twilight Kiss,Action,,PSP,Broccoli,Unknown,,,,0.02,2015,/games/boxart/full_7404103JapanFrontccc.jpg,0.005311520688373105
Senran Kagura: Peach and Reflexions Limited Double Pack,Misc,,NS,Marvelous,Marvelous,,,,0.02,2018,/games/boxart/full_2897061JapanFrontccc.jpg,0.007973845785822498
LEGO Star Wars: The Video Game,Action,E,PC,Eidos Interactive,Traveller's Tales,,7.8,,0.02,2005,/games/boxart/7765807ccc.jpg,0.004318441906160286
Worms World Party,Strategy,E,PC,Titus,Team17 Software,,,,0.02,2001,/games/boxart/5832998ccc.jpg,0.0057502659498001926
Earth Defense Force 2017 (old JP sales),Shooter,T,X360,D3 Publisher,Sandlot,,,,0.02,2007,/games/boxart/2405085ccc.jpg,0.0030951607162202264
Gummy Bears Magical Medallion,Platform,E,Wii,Storm City Games,Storm City Games,,,,0.02,2011,/games/boxart/full_gummy-bears-magical-medallion_211AmericaFront.jpg,0.0031229505636925945
Sengoku Hime: Senran ni Mau Otometachi,Adventure,,PS2,Yeti,Yeti,,,,0.02,2009,/games/boxart/full_437415JapanFrontccc.jpg,0.002839900603478895
GTI Club: Supermini Festa!,Racing,E,Wii,Konami,Konami,,,,0.02,2010,/games/boxart/full_4525727AmericaFrontccc.jpg,0.002924789049589836
The Inner World: The Last Wind Monk,Puzzle,E10,XOne,Kalypso Media,Studio Fizbin,,,,0.02,2017,/games/boxart/full_9906536AmericaFrontccc.jpg,0.005459111256687445
Monster Trux Offroad,Racing,E,Wii,Bold Games,Data Design Interactive,,,,0.02,2007,/games/boxart/full_9864619AmericaFrontccc.jpg,0.0030951607162202264
Space Hulk: Deathwing,Shooter,M,PS4,Focus Home Interactive,Cyanide Studio,,,7.5,0.02,2017,/games/boxart/full_623355AmericaFrontccc.jpg,0.005459111256687445
Mission: Impossible - Operation Surma,Action,T,GC,Atari,Paradigm Entertainment,,7.3,,0.02,2004,/games/boxart/full_4201213AmericaFrontccc.jpg,0.004338677137340836
Romance of the Three Kingdoms XII,Strategy,,WiiU,Tecmo Koei,Tecmo Koei Games,,,,0.02,2012,/games/boxart/full_3441529JapanFrontccc.jpg,0.00499475550671797
Sora no Otoshimono Forte: Dreamy Season,Adventure,,DS,Kadokawa Shoten,Kadokawa Shoten,,,,0.02,2011,/games/boxart/full_sora-no-otoshimono-forte-dreamy-season_71JapanFront.jpg,0.0031229505636925945
Future Card Buddyfight: Tanjou! Oretachi no Saikyou Body!,Strategy,,3DS,FuRyu Corporation,FuRyu,,,,0.02,2018,/games/boxart/full_4606037JapanFrontccc.png,0.007973845785822498
Hiiro no Kakera Portable,Adventure,,PSP,Idea Factory,Idea Factory,,,,0.02,2008,/games/boxart/full_3490387JapanFrontccc.jpg,0.002708228953675768
Trigger Man,Shooter,T,GC,Crave Entertainment,Point of View,,2.0,,0.02,2004,/games/boxart/8681100ccc.jpg,0.004338677137340836
Yuu Yuu Hakusho DS: Ankoku Bujutsukai Hen,Action,,DS,Takara Tomy,Takara Tomy,,,,0.02,2006,/games/boxart/full_1420956JapanFrontccc.jpg,0.0039298135303480084
Antz Extreme Racing,Racing,E,XB,Empire Interactive,Supersonic Software,,,,0.02,2002,/games/boxart/6088775ccc.jpg,0.0051396705471179515
Marginal #4: Idol of Supernova,Adventure,,PSV,Idea Factory,Idea Factory,,,,0.02,2014,/games/boxart/full_2769789JapanFrontccc.jpg,0.004523658735185026
"Nogizaka Haruka no Himitsu Cosplay, Hajime Mashita",Adventure,,PS2,ASCII Media Works,ASCII Media Works,,,,0.02,2008,/games/boxart/full_4672444JapanFrontccc.jpg,0.002708228953675768
